candidate_id,parent_id,method_fingerprint,build,job_id,binary_sha256,fixture_sha256,k1_cycles,k1_correct,k2_cycles,k2_correct,k3_cycles,k3_correct,decision,evidence
all3_k2_a23_direct_h480_commit_20260916_0430,C01,kernel=sliding_attention_output;parent_head=cae1a94c15643d1aa4804dcf9d8f7af0faa5504a;parent_ops=867c3923bc26aaf5d8c3aa7e68ce790dae92f5ffb30d82f98d16cf9c9e4d4df1;parent_projection=6df018b998eb998eb86969f51ac7248f688f110b139c745687e3f806f3ba3d43;parent_rms=33c4e7b515bf331b2fdb30a549881416b49aef78228cd796fe4b46ad372dfe38;layout=K16_H1920_H120x16_direct_H480x64;dtype=projection_bf16_rms_f32_normalized_bf16_residual_bf16;mechanism=direct_projection_commit_to_rms_local_layout,COMPILE_FAIL,,,9801c5732d9f5bef89d544631c37f74dae1603df35b67a2cfdd6377915b7599e,,,,,,,REJECT_COMPILE,backups/all3_k2_a23_direct_h480_commit_20260916_0430/build.attempt3.stderr: TensorUnit lowering partitioning_infos must be broadcast or from_in_slice at projection.rs:341; no Arena submit
RESUME_USER_CHANGES_20260918_R1,USER_WORKTREE_PARENT,existing-user-changes;backup=backups/RESUME_PARENT_20260918_050044;RNGD_TIMEOUT=70,PASS,51590,, ,PASS,46023,PASS,291681,PASS,KEEP_PARENT,resume baseline all 3 correctness PASS; K1=102877
MX41_K1_QUERY_LANE_SEQUENTIAL_20260918,RESUME_USER_CHANGES_20260918_R1,project_query;contract_lane Interleaved->Sequential;parent_projection_sha256=6DF018B998EB998EB86969F51AC7248F688F110B139C745687E3F806F3BA3D43;RNGD_TIMEOUT=70,PASS,52011,, ,PASS,56407,PASS,288215,PASS,REJECT_PERFORMANCE,K1=104747 regression; K2=56407 regression; exact delta reverted
MX42_K2_QK_LANE_SEQUENTIAL_20260918,RESUME_USER_CHANGES_20260918_R1,attention;QK contract_lane Interleaved->Sequential;parent_attention_sha256=0B2ABC4A8B5BBECD2137801675997158379CA080381F6E0CA7AD633A9ADFE825;RNGD_TIMEOUT=70,PASS,52019,, ,PASS,52755,PASS,287347,PASS,REJECT_PERFORMANCE,K1=98521; K2=52755 regression; K3=287347; exact delta reverted
MX43_K3_DOWN_SCALE_ORDER_20260918,RESUME_USER_CHANGES_20260918_R1,project_down_matrix;swap block_scale/input_scale_vrf multiplication order in four tiles;parent_mlp_sha256=B8C574333175B6714E83C8814ACE296F30FA91337ED0157CD3E8D9E110DB5677;RNGD_TIMEOUT=70,PASS,52030,, ,PASS,46107,PASS,291207,PASS,REJECT_PERFORMANCE,K3=291207 regression; K1=104827; K2=46107; exact delta reverted
MX44_K1_NORMALIZE_MUL_BEFORE_DIV_20260918,RESUME_USER_CHANGES_20260918_R1,normalize_weighted;swap MulF(weight) before DivF(rms);parent_qkv_sha256=5CB2494AC33FD7730F50B2CD9D68C7C0BB3B216A07CB8544F9D5971185710603;RNGD_TIMEOUT=70,PASS,52046,, ,PASS,46751,PASS,292437,PASS,REJECT_PERFORMANCE,K1=103796; K2=46751; K3=292437; exact delta reverted
MX45_K2_X_BEFORE_OWEIGHT_20260918,RESUME_USER_CHANGES_20260918_R1,sliding_attention_output;move x HBM->DM before O-weight HBM->DM;parent_ops_sha256=867C3923BC26AAF5D8C3AA7E68CE790DAE92F5FFB30D82F98D16CF9C9E4D4DF1;RNGD_TIMEOUT=70;control_job=52083,PASS,52060/52070,,,100463/108771,PASS,44335/44157,PASS,313167/286899,PASS,KEEP_PROMOTE,candidate K2 median=44246 vs parent control K2=50995; provisional signal pending paired repeat; active ops sha256=1E8C6005357318025BC64B43F5DF1355D4BC7C2199291E017D5420D8697CAB36
MX46_K3_UP_SCALE_BEFORE_WEIGHT_20260918,RESUME_USER_CHANGES_20260918_R1,feedforward;stage up_weight_scale before up_weight_packed;parent_mlp_sha256=B8C574333175B6714E83C8814ACE296F30FA91337ED0157CD3E8D9E110DB5677;RNGD_TIMEOUT=70,PASS,52107/52116,52126,PASS,48571/49547,44449,PASS,288464/290647,286725,PASS,REJECT_PERFORMANCE,candidate K3 median=289555.5 above parent control; 52109 excluded package Exec format error; exact delta reverted
MX47_K3_GATE_SCALE_BEFORE_WEIGHT_20260918,RESUME_USER_CHANGES_20260918_R1,project_up_and_gate;stage gate_weight_scale before gate_weight_packed;parent_mlp_sha256=B8C574333175B6714E83C8814ACE296F30FA91337ED0157CD3E8D9E110DB5677;RNGD_TIMEOUT=70,PASS,52138/52142,52126,PASS,44311/144151,44449,PASS,285724/288897,286725,PASS,REJECT_PERFORMANCE,candidate K3 median=287310.5; repeat K2 outlier 144151; exact delta reverted
MX48_K3_DOWN_SCALE_BEFORE_WEIGHT_20260918,RESUME_USER_CHANGES_20260918_R1,project_up_and_gate;stage down_weight_scale before down_weight_packed;parent_mlp_sha256=B8C574333175B6714E83C8814ACE296F30FA91337ED0157CD3E8D9E110DB5677;RNGD_TIMEOUT=70,PASS,52148,, ,PASS,60353,PASS,292072,PASS,REJECT_PERFORMANCE,K1=97113; K2/K3 regression; exact delta reverted
MX49_K2_AUX_AFTER_PROJECTION_20260918,RESUME_USER_CHANGES_20260918_R1,sliding_attention_output;defer residual/output_scale/rms_weight DM staging until after projection;parent_ops_sha256=1E8C6005357318025BC64B43F5DF1355D4BC7C2199291E017D5420D8697CAB36;RNGD_TIMEOUT=70,PASS,52156,, ,PASS,48801,PASS,289556,PASS,REJECT_PERFORMANCE,K2 regression; exact delta reverted
MX50_K2_RMS_WEIGHT_FIRST_20260918,RESUME_USER_CHANGES_20260918_R1,sliding_attention_output;stage rms_weight before residual/output_scale;parent_ops_sha256=1E8C6005357318025BC64B43F5DF1355D4BC7C2199291E017D5420D8697CAB36;RNGD_TIMEOUT=70,PASS,52166,, ,PASS,70081,PASS,294829,PASS,REJECT_PERFORMANCE,K1=117959; K2=70081; K3=294829; exact delta reverted
MX51_K3_PREP_UP_INPUT_FIRST_20260918,RESUME_USER_CHANGES_20260918_R1,feedforward;prepare_up_input before up packed/scale DMAs;parent_mlp_sha256=B8C574333175B6714E83C8814ACE296F30FA91337ED0157CD3E8D9E110DB5677;RNGD_TIMEOUT=70,PASS,52176,, ,PASS,44649,PASS,286661,PASS,REJECT_NO_PROMOTE,K3=286661 effectively equal to parent control 286725; exact delta reverted
MX52_K1_QUERY_SCALE_BEFORE_WEIGHT_20260918,RESUME_USER_CHANGES_20260918_R1,project_query;stage query weight_scale before query weight DMA;parent_qkv_sha256=5CB2494AC33FD7730F50B2CD9D68C7C0BB3B216A07CB8544F9D5971185710603;RNGD_TIMEOUT=70,PASS,52194/52205,, ,PASS,46151/49165,PASS,287365/292885,PASS,REJECT_NO_PROMOTE,K1 median=102998 from 96601/109395; exact delta reverted
MX53_K1_KV_SCALE_BEFORE_WEIGHT_20260918,RESUME_USER_CHANGES_20260918_R1,project_one_kv_matrix;stage K/V weight scales before K/V weight DMA;parent_qkv_sha256=5CB2494AC33FD7730F50B2CD9D68C7C0BB3B216A07CB8544F9D5971185710603;RNGD_TIMEOUT=70,PASS,52218,, ,PASS,46317,PASS,286365,PASS,REJECT_PERFORMANCE,K1=103097 regression; exact delta reverted
MX54_K2_OUTPUT_PACKET2_20260918,RESUME_USER_CHANGES_20260918_R1,project_output_cluster_split_k16;contract_packet 1->2;parent_projection_sha256=6DF018B998EB998EB86969F51AC7248F688F110B139C745687E3F806F3BA3D43;RNGD_TIMEOUT=70,FAIL,,,,,,,FAIL,COMPILE_LOWERING_REJECTED,OutPacket 2 invalid for Packet Qs%32 at projection.rs:333; exact delta reverted
MX55_K3_DOWN_STAGE_AFTER_GATE_20260918,RESUME_USER_CHANGES_20260918_R1,project_up_and_gate;defer Down weight/scale staging until after Gate projection;parent_mlp_sha256=B8C574333175B6714E83C8814ACE296F30FA91337ED0157CD3E8D9E110DB5677;RNGD_TIMEOUT=70,PASS,52237,, ,PASS,43885,PASS,288120,PASS,REJECT_PERFORMANCE,K3 regression vs control 286725; exact delta reverted
MX56_K1_ROPE_SIN_FIRST_20260918,RESUME_USER_CHANGES_20260918_R1,rope_one;load sin_vrf before cos_vrf;parent_qkv_sha256=5CB2494AC33FD7730F50B2CD9D68C7C0BB3B216A07CB8544F9D5971185710603;RNGD_TIMEOUT=70,PASS,52255,, ,PASS,45675,PASS,288455,PASS,REJECT_PERFORMANCE,K1=103257 regression vs control 102381; exact delta reverted
MX57_K1_INPUT_RMS_WEIGHT_FIRST_20260918,RESUME_USER_CHANGES_20260918_R1,normalize_native_input;stage RMS weight before activation x;parent_qkv_sha256=5CB2494AC33FD7730F50B2CD9D68C7C0BB3B216A07CB8544F9D5971185710603;RNGD_TIMEOUT=70,PASS,52272,, ,PASS,45733,PASS,287957,PASS,REJECT_PERFORMANCE,K1=104951 regression; exact delta reverted
MX58_K3_GLOBAL_SCALE_BEFORE_DOWN_OUTPUT_20260918,RESUME_USER_CHANGES_20260918_R1,feedforward;stage down_global_scale before Down output DM transfer;parent_mlp_sha256=B8C574333175B6714E83C8814ACE296F30FA91337ED0157CD3E8D9E110DB5677;RNGD_TIMEOUT=70,PASS,52286/52289,52294,PASS,39159/49169,41089,PASS,285942/288148,283717,PASS,REJECT_PERFORMANCE,candidate medians K2=44164 K3=287045; paired parent control beats candidate; exact delta reverted
MX59_K3_DOWN_STAGE_BEFORE_GATE_DECODE_20260918,RESUME_USER_CHANGES_20260918_R1,project_up_and_gate;stage Down weight/scale before gate decode;parent_mlp_sha256=B8C574333175B6714E83C8814ACE296F30FA91337ED0157CD3E8D9E110DB5677;RNGD_TIMEOUT=70,PASS,52303,, ,PASS,45433,PASS,286169,PASS,REJECT_PERFORMANCE,K3 regression vs control 283717; exact delta reverted
MX60_K3_GATE_STAGE_BEFORE_UP_DECODE_20260918,RESUME_USER_CHANGES_20260918_R1,project_up_and_gate;stage Gate weight/scale before Up decode;parent_mlp_sha256=B8C574333175B6714E83C8814ACE296F30FA91337ED0157CD3E8D9E110DB5677;RNGD_TIMEOUT=70,PASS,52307,, ,PASS,55519,PASS,291500,PASS,REJECT_PERFORMANCE,K2/K3 regression; exact delta reverted
MX61_K1_EARLY_WEIGHT_VRF_20260918,RESUME_USER_CHANGES_20260918_R1,normalize_native_input;stage weight VRF before RMS reduction;parent_qkv_sha256=5CB2494AC33FD7730F50B2CD9D68C7C0BB3B216A07CB8544F9D5971185710603;RNGD_TIMEOUT=70,PASS,52314,, ,PASS,46333,PASS,284719,PASS,REJECT_PERFORMANCE,K1=111018 regression; exact delta reverted
MX63_MX45_MX58_COMBO_20260918,RESUME_USER_CHANGES_20260918_R1,MX45 K2 plus MX58 K3;down_global_scale before Down output DMA;parent_mlp_sha256=B8C574333175B6714E83C8814ACE296F30FA91337ED0157CD3E8D9E110DB5677;RNGD_TIMEOUT=70,PASS,52327/52332,52294,PASS,46329/47459,41089,PASS,284819/292507,283717,PASS,REJECT_PERFORMANCE,combo medians K1=99608.5 K2=46894 K3=288663 vs parent; exact mlp delta reverted; MX45 ops remains active
MX64_K3_SCALE_BEFORE_DOWN_INPUT_20260918,RESUME_USER_CHANGES_20260918_R1,feedforward;stage down_global_scale before prepare_down_input;parent_mlp_sha256=B8C574333175B6714E83C8814ACE296F30FA91337ED0157CD3E8D9E110DB5677;RNGD_TIMEOUT=70,PASS,52345,,,110060,PASS,44099,PASS,285292,PASS,REJECT_PERFORMANCE,K3 target=285292; reject only against retained K3 control/frontier; K1/K2 context only; exact delta reverted
MX68_K3_PREFETCH_RMS_WEIGHT_20260918,RESUME_USER_CHANGES_20260918_R1,k3 rmsnorm;prefetch rms_weight before RMS reduction;parent_rmsnorm_sha256=33C4E7B515BF331B2FDB30A549881416B49AEF78228CD796FE4B46AD372DFE38;RNGD_TIMEOUT=70,PASS,52815,,,105273,PASS,47595,PASS,294545,PASS,REJECT_PERFORMANCE,K3 target=294545 regressed versus retained K3 control/frontier; K1/K2 context only; exact delta reverted
MX65_K3_PREFETCH_RESIDUAL_RMS_20260918,RESUME_USER_CHANGES_20260918_R1,k3 rmsnorm;prefetch residual before RMS reduction;parent_rmsnorm_sha256=33C4E7B515BF331B2FDB30A549881416B49AEF78228CD796FE4B46AD372DFE38;RNGD_TIMEOUT=70,PASS,52353,, ,PASS,46193,PASS,288839,PASS,REJECT_PERFORMANCE,K3=288839 regression; exact delta reverted
MX66_K3_PREFETCH_LAYER_SCALAR_RMS_20260918,RESUME_USER_CHANGES_20260918_R1,k3 rmsnorm;prefetch layer_scalar before RMS reduction;parent_rmsnorm_sha256=33C4E7B515BF331B2FDB30A549AEF78228CD796FE4B46AD372DFE38;RNGD_TIMEOUT=70,FAIL,,,,,,,FAIL,COMPILE_REJECTED,rmsnorm.rs:478 layer_scalar not in scope; rmsnorm.rs:831 layer_scalar_vrf not in scope; exact delta reverted
MX67_K3_PREFETCH_LAYER_SCALAR_RMS_FIXED_20260918,RESUME_USER_CHANGES_20260918_R1,k3 rmsnorm;prefetch layer_scalar before RMS reduction in correct split-k3 scope;parent_rmsnorm_sha256=33C4E7B515BF331B2FDB30A549881416B49AEF78228CD796FE4B46AD372DFE38;RNGD_TIMEOUT=70,PASS,52385,,101386,46045,289504,PASS,REJECT_PERFORMANCE,K3=289504 vs parent control 283717 (+2.0%); exact delta reverted
